Disease	GDS IDs
Tumor	GDS1043, GDS1078, GDS1094, GDS1209, GDS1212, GDS1215, GDS1237, GDS1250, GDS1253, GDS1255, GDS1282, GDS1286, GDS1289, GDS1311, GDS1314, GDS1326, GDS1330, GDS1375, GDS1379, GDS1380, GDS1384, GDS1388, GDS1407, GDS1409, GDS1413, GDS1427, GDS1440, GDS1467, GDS1477, GDS1512, GDS1523, GDS1528, GDS1529, GDS1542, GDS1543, GDS1544, GDS1549, GDS1585, GDS1599, GDS1600, GDS1617, GDS1627, GDS1637, GDS1654, GDS1657, GDS1658, GDS1664, GDS1681, GDS1697, GDS1699, GDS170, GDS1714, GDS1730, GDS1746, GDS1750, GDS1760, GDS1761, GDS1780, GDS1791, GDS1792, GDS1815, GDS1816, GDS1830, GDS1852, GDS1873, GDS1886, GDS1902, GDS1925, GDS1942, GDS1965, GDS1989, GDS199, GDS1990, GDS2004, GDS2005, GDS2006, GDS2007, GDS2026, GDS2034, GDS2041, GDS2086, GDS2087, GDS2088, GDS2095, GDS2096, GDS2097, GDS2104, GDS2107, GDS2163, GDS2171, GDS2175, GDS2176, GDS2193, GDS2201, GDS2213, GDS2229, GDS2239, GDS2244, GDS2251, GDS2295, GDS2297, GDS2298, GDS2323, GDS2324, GDS2327, GDS2343, GDS2355, GDS2358, GDS2367, GDS2384, GDS2397, GDS2415, GDS2420, GDS2428, GDS2444, GDS2445, GDS2446, GDS2454, GDS2460, GDS2493, GDS2494, GDS2499, GDS2514, GDS2526, GDS2534, GDS2558, GDS2562, GDS2612, GDS2665, GDS2728, GDS2729, GDS2733, GDS2737, GDS2744, GDS2745, GDS2747, GDS2755, GDS2766, GDS2770, GDS2771, GDS2773, GDS2777, GDS278, GDS2780, GDS2782, GDS2783, GDS2794, GDS2819, GDS2827, GDS2848, GDS2856, GDS2861, GDS2865, GDS2867, GDS2880, GDS2881, GDS2885, GDS2901, GDS2918, GDS2921, GDS2926, GDS2932, GDS2947, GDS2958, GDS2963, GDS2966, GDS2970, GDS2971, GDS3003, GDS3007, GDS3012, GDS3029, GDS3036, GDS3056, GDS3057, GDS3069, GDS3087, GDS3101, GDS3103, GDS3105, GDS3110, GDS3111, GDS3114, GDS3124, GDS3138, GDS3139, GDS3140, GDS3151, GDS3155, GDS3172, GDS3211, GDS3217, GDS3223, GDS3258, GDS3260, GDS3262, GDS3281, GDS3283, GDS3292, GDS3315, GDS3319, GDS332, GDS3321, GDS3334, GDS3388, GDS3417, GDS3424, GDS3431, GDS3432, GDS3480, GDS3482, GDS3484, GDS3489, GDS3490, GDS3493, GDS3494, GDS3501, GDS3510, GDS3514, GDS3517, GDS3518, GDS3534, GDS3537, GDS3539, GDS3550, GDS3556, GDS3557, GDS3558, GDS3573, GDS3578, GDS3581, GDS3606, GDS3609, GDS3610, GDS3634, GDS3640, GDS3706, GDS3709, GDS3717, GDS386, GDS47, GDS48, GDS483, GDS707, GDS709, GDS756, GDS799, GDS806, GDS807, GDS810, GDS817, GDS820, GDS823, GDS825, GDS845, GDS846, GDS847, GDS848, GDS852, GDS854, GDS855, GDS858, GDS88, GDS881, GDS884, GDS885, GDS901, GDS905, GDS911, GDS918, GDS988, GDS989, GDS992, GDS998
Urethritis	
Uterine Disease	GDS1972, GDS2052
Uveal Neoplasm	
Uveitis	
Uvulitis	
Vaginitis	
Valvulitis	
Vasculitis	GDS2889
von Hippel-Lindau Disease	
von Willebrand Disease	
Vulvitis	
Vulvovaginitis	
Weil Disease	
Whipple Disease	
Wolman Disease	
