GDS ID	Pubmed ID	MeSH Terms
GDS1580	16311605	Adaptor Proteins, Signal Transducing/genetics ¥ Adaptor Proteins, Signal Transducing/metabolism* ¥ Blotting, Western ¥ Cell Line ¥ DNA/metabolism* ¥ Gene Silencing ¥ HIV/genetics* ¥ HIV/physiology ¥ HIV Integrase/metabolism ¥ Humans ¥ Microarray Analysis ¥ Transcription Factors/genetics ¥ Transcription Factors/metabolism* ¥ Virus Integration/physiology*
GDS1584	15381369	Adult ¥ Aged ¥ Carcinoma, Squamous Cell/genetics* ¥ Carcinoma, Squamous Cell/pathology* ¥ Cluster Analysis ¥ Down-Regulation ¥ Female ¥ Gene Expression Profiling ¥ Gene Expression Regulation, Neoplastic* ¥ Humans ¥ Male ¥ Middle Aged ¥ Mouth Neoplasms/genetics* ¥ Mouth Neoplasms/pathology* ¥ Neoplasm Invasiveness/genetics ¥ Oligonucleotide Array Sequence Analysis ¥ Reverse Transcriptase Polymerase Chain Reaction ¥ Up-Regulation
GDS1597	15942018	Adult ¥ Aged ¥ Animals ¥ Cells, Cultured ¥ Computational Biology ¥ Computer Simulation ¥ Coronary Artery Disease/pathology* ¥ DNA, Complementary/metabolism ¥ Female ¥ Gene Expression Profiling ¥ Gene Expression Regulation ¥ Genome ¥ Humans ¥ Immune System ¥ Immunohistochemistry ¥ Inflammation ¥ Male ¥ Mice ¥ Mice, Transgenic ¥ Middle Aged ¥ Models, Biological ¥ Models, Statistical ¥ Myocardial Ischemia/pathology ¥ Nucleic Acid Hybridization ¥ Oligonucleotide Array Sequence Analysis ¥ RNA/chemistry ¥ RNA/metabolism ¥ Systems Biology
GDS160	12436343	Adult ¥ Arizona ¥ Blood Glucose/metabolism ¥ Enzymes/genetics ¥ Gene Expression Profiling* ¥ Glucose Tolerance Test ¥ Humans ¥ Indians, North American/genetics* ¥ Insulin Resistance/genetics* ¥ Muscle, Skeletal/physiology ¥ Muscle, Skeletal/physiopathology* ¥ Obesity/genetics* ¥ Oligonucleotide Array Sequence Analysis/methods* ¥ Proteins/genetics ¥ Transcription, Genetic
GDS161	12436343	Adult ¥ Arizona ¥ Blood Glucose/metabolism ¥ Enzymes/genetics ¥ Gene Expression Profiling* ¥ Glucose Tolerance Test ¥ Humans ¥ Indians, North American/genetics* ¥ Insulin Resistance/genetics* ¥ Muscle, Skeletal/physiology ¥ Muscle, Skeletal/physiopathology* ¥ Obesity/genetics* ¥ Oligonucleotide Array Sequence Analysis/methods* ¥ Proteins/genetics ¥ Transcription, Genetic
GDS1615	16436634	Adult ¥ Case-Control Studies ¥ Colitis, Ulcerative/blood ¥ Colitis, Ulcerative/diagnosis* ¥ Crohn Disease/blood ¥ Crohn Disease/diagnosis* ¥ Gene Expression Profiling* ¥ Humans ¥ Leukocytes, Mononuclear/chemistry* ¥ Male ¥ Molecular Diagnostic Techniques* ¥ Reverse Transcriptase Polymerase Chain Reaction/methods
GDS1617	16357179	Antineoplastic Agents/pharmacology* ¥ Apoptosis/drug effects* ¥ DNA-Binding Proteins/genetics ¥ DNA-Binding Proteins/metabolism ¥ Gene Expression Profiling ¥ Humans ¥ Hypoxia-Inducible Factor 1, alpha Subunit/genetics ¥ Hypoxia-Inducible Factor 1, alpha Subunit/metabolism ¥ Lymphoma, B-Cell/drug therapy* ¥ Lymphoma, B-Cell/metabolism ¥ Lymphoma, B-Cell/pathology ¥ Metalloporphyrins/pharmacology* ¥ NF-E2-Related Factor 2/genetics ¥ NF-E2-Related Factor 2/metabolism ¥ Oligonucleotide Array Sequence Analysis ¥ Oxidative Stress/drug effects* ¥ Response Elements ¥ S Phase/drug effects ¥ Transcription Factors/genetics ¥ Transcription Factors/metabolism ¥ Tumor Cells, Cultured ¥ Zinc/metabolism*
GDS1618	16440291	Biological Markers/analysis ¥ Cell Adhesion Molecules/genetics ¥ Endothelial Cells/metabolism* ¥ Gene Expression Profiling* ¥ Humans ¥ Immunohistochemistry ¥ Lectins/genetics ¥ Liver/metabolism ¥ Lymph Nodes/metabolism* ¥ Lymph Nodes/pathology ¥ Lymphatic Metastasis* ¥ Macrophages/metabolism* ¥ Microscopy, Confocal ¥ Oligonucleotide Array Sequence Analysis* ¥ Palatine Tonsil/metabolism ¥ Receptors, Scavenger/genetics* ¥ Reverse Transcriptase Polymerase Chain Reaction ¥ Spleen/metabolism
GDS162	12436343	Adult ¥ Arizona ¥ Blood Glucose/metabolism ¥ Enzymes/genetics ¥ Gene Expression Profiling* ¥ Glucose Tolerance Test ¥ Humans ¥ Indians, North American/genetics* ¥ Insulin Resistance/genetics* ¥ Muscle, Skeletal/physiology ¥ Muscle, Skeletal/physiopathology* ¥ Obesity/genetics* ¥ Oligonucleotide Array Sequence Analysis/methods* ¥ Proteins/genetics ¥ Transcription, Genetic
GDS1627	15598611	Antibiotics, Antineoplastic/administration & dosage ¥ Antibiotics, Antineoplastic/pharmacology ¥ Antimetabolites, Antineoplastic/administration & dosage ¥ Antimetabolites, Antineoplastic/pharmacology ¥ Antineoplastic Agents, Phytogenic/pharmacology ¥ Antineoplastic Combined Chemotherapy Protocols/pharmacology* ¥ Antineoplastic Combined Chemotherapy Protocols/therapeutic use ¥ Breast Neoplasms/drug therapy ¥ Breast Neoplasms/genetics* ¥ Cell Line, Tumor ¥ Doxorubicin/administration & dosage ¥ Doxorubicin/pharmacology* ¥ Etoposide/pharmacology ¥ Female ¥ Fluorouracil/administration & dosage ¥ Fluorouracil/pharmacology* ¥ Gene Expression Profiling ¥ Gene Expression Regulation, Neoplastic/drug effects* ¥ Humans ¥ Inhibitory Concentration 50 ¥ Oligonucleotide Array Sequence Analysis ¥ RNA, Messenger/analysis
GDS1630	16575254	Apoptosis/genetics ¥ Cell Cycle/genetics ¥ Cell Line, Transformed ¥ Cells, Cultured ¥ Endothelial Cells/drug effects ¥ Endothelial Cells/physiology* ¥ Gene Expression Profiling ¥ Gene Expression Regulation/drug effects* ¥ Heptanoic Acids/pharmacology* ¥ Humans ¥ Hydroxymethylglutaryl-CoA Reductase Inhibitors/pharmacology* ¥ Mevalonic Acid/pharmacology ¥ Oligonucleotide Array Sequence Analysis/methods ¥ Pyrroles/pharmacology* ¥ Simvastatin/pharmacology
GDS1637	16079833	Adenocarcinoma/genetics ¥ Adenocarcinoma/metabolism ¥ Adenocarcinoma/pathology ¥ Alleles ¥ Animals ¥ Cell Aging* ¥ Cell Transformation, Neoplastic/genetics ¥ Cell Transformation, Neoplastic/metabolism ¥ Cell Transformation, Neoplastic/pathology ¥ Cyclin-Dependent Kinase Inhibitor p16/metabolism ¥ Disease Models, Animal ¥ Disease Progression ¥ Gene Expression Regulation, Neoplastic ¥ Genes, ras/genetics ¥ Heterochromatin/genetics ¥ Heterochromatin/metabolism ¥ Lung Neoplasms/genetics ¥ Lung Neoplasms/metabolism ¥ Lung Neoplasms/pathology* ¥ Mice ¥ Mice, Transgenic ¥ Oligonucleotide Array Sequence Analysis ¥ Precancerous Conditions/genetics ¥ Precancerous Conditions/metabolism ¥ Precancerous Conditions/pathology* ¥ Tumor Markers, Biological/analysis ¥ Tumor Markers, Biological/metabolism ¥ beta-Galactosidase/genetics ¥ beta-Galactosidase/metabolism
GDS1645	16269079	Blotting, Western ¥ Cell Cycle ¥ Cell Proliferation ¥ Cyclic AMP/metabolism ¥ Cyclic GMP/metabolism* ¥ Cyclin-Dependent Kinase Inhibitor p21/metabolism ¥ E2F1 Transcription Factor/metabolism ¥ Gene Expression Regulation, Enzymologic* ¥ Glutathione/metabolism ¥ Humans ¥ MAP Kinase Signaling System ¥ Models, Biological ¥ Models, Statistical ¥ Nitric Oxide/metabolism* ¥ Oligonucleotide Array Sequence Analysis ¥ Phosphorylation ¥ Promoter Regions, Genetic ¥ RNA/metabolism ¥ RNA, Messenger/metabolism ¥ Reverse Transcriptase Polymerase Chain Reaction ¥ S-Nitrosoglutathione/metabolism ¥ Signal Transduction* ¥ Time Factors ¥ Transcription, Genetic ¥ U937 Cells ¥ Up-Regulation
GDS1646	16352629	Cells, Cultured ¥ Gene Expression Profiling/methods ¥ Gene Expression Regulation/immunology* ¥ Gonorrhea/complications ¥ Gonorrhea/immunology* ¥ HIV Infections/complications ¥ HIV Infections/immunology* ¥ HIV-1/immunology* ¥ Humans ¥ Lymphocyte Activation/immunology ¥ Neisseria gonorrhoeae/immunology* ¥ Oligonucleotide Array Sequence Analysis/methods ¥ T-Lymphocytes/immunology* ¥ T-Lymphocytes/microbiology ¥ T-Lymphocytes/virology ¥ Viral Load
GDS1650	16314486	Adenocarcinoma/genetics* ¥ Animals ¥ Carcinogens ¥ Cluster Analysis ¥ DNA Replication/genetics ¥ Databases, Nucleic Acid ¥ Disease Models, Animal ¥ Enzymes/genetics ¥ Gene Expression Profiling ¥ Gene Expression Regulation, Neoplastic* ¥ Humans ¥ Lung/pathology ¥ Lung Neoplasms/genetics* ¥ Male ¥ Mice ¥ Mice, Inbred A ¥ Neovascularization, Pathologic/genetics ¥ Oligonucleotide Array Sequence Analysis ¥ Species Specificity
GDS1664	16551631	Biopsy ¥ Breast Neoplasms/metabolism* ¥ Cell Line, Tumor ¥ Cell Movement ¥ Cell Proliferation ¥ Forskolin/pharmacology ¥ Gene Expression Regulation, Neoplastic* ¥ Humans ¥ Integrin alpha6/metabolism ¥ Parathyroid Hormone-Related Protein/metabolism ¥ Parathyroid Hormone-Related Protein/physiology* ¥ Plasminogen Activator Inhibitor 1/metabolism ¥ RNA Interference ¥ RNA, Small Interfering/metabolism ¥ Tumor Suppressor Proteins/metabolism
GDS1665	16365291	Base Sequence ¥ Blotting, Northern ¥ Blotting, Western ¥ Carcinoma, Papillary/genetics* ¥ Carcinoma, Papillary/metabolism ¥ Computational Biology ¥ DNA/metabolism ¥ Down-Regulation ¥ Gene Expression Regulation* ¥ Gene Expression Regulation, Neoplastic* ¥ Humans ¥ MicroRNAs*/chemistry ¥ Models, Statistical ¥ Molecular Sequence Data ¥ Mutation ¥ Neoplasms/metabolism ¥ Nucleic Acid Hybridization ¥ Oligonucleotide Array Sequence Analysis ¥ Polymorphism, Genetic ¥ Proto-Oncogene Proteins c-kit/genetics ¥ Proto-Oncogene Proteins c-kit/metabolism ¥ RNA, Messenger/metabolism ¥ Reverse Transcriptase Polymerase Chain Reaction ¥ Sequence Analysis, DNA ¥ Software ¥ Thyroid Gland/metabolism ¥ Thyroid Neoplasms/genetics* ¥ Thyroid Neoplasms/therapy ¥ Up-Regulation
GDS1667	16467079	Adult ¥ Aged ¥ Aged, 80 and over ¥ Carcinoma, Squamous Cell/genetics* ¥ Carcinoma, Squamous Cell/virology* ¥ Chromosome Mapping ¥ Chromosomes, Human/genetics ¥ Cluster Analysis ¥ Decision Trees ¥ Female ¥ Gene Expression Regulation, Neoplastic* ¥ Head and Neck Neoplasms/genetics* ¥ Head and Neck Neoplasms/virology* ¥ Humans ¥ Male ¥ Middle Aged ¥ Oligonucleotide Array Sequence Analysis ¥ Papillomaviridae/genetics* ¥ RNA, Viral/genetics ¥ Reverse Transcriptase Polymerase Chain Reaction
GDS1672	16395407	Antigens, CD/analysis ¥ Cell Division ¥ Colony-Forming Units Assay ¥ Hair Follicle/cytology* ¥ Hair Follicle/immunology ¥ Hair Follicle/physiology* ¥ Humans ¥ Oligonucleotide Array Sequence Analysis ¥ Scalp ¥ Stem Cells/cytology* ¥ Stem Cells/immunology ¥ Stem Cells/physiology*
GDS1673	16498083	Adult ¥ Aged ¥ Aging/genetics ¥ Female ¥ Gene Expression Profiling* ¥ Genetic Variation/genetics* ¥ Humans ¥ Lung/metabolism* ¥ Male ¥ Middle Aged ¥ Oligonucleotide Array Sequence Analysis ¥ Sex Characteristics
GDS1676	16140273	Adult ¥ Cell Line ¥ Chemokines/immunology* ¥ Computer Simulation ¥ Gene Expression Regulation/immunology ¥ Herpesvirus 6, Human/immunology* ¥ Humans ¥ Models, Immunological* ¥ Roseolovirus Infections/immunology* ¥ Roseolovirus Infections/virology* ¥ Signal Transduction/immunology ¥ T-Lymphocytes/immunology* ¥ T-Lymphocytes/virology*
GDS1679	15985525	Adult ¥ Apoptosis ¥ DNA-Binding Proteins/genetics ¥ Electron Transport ¥ Exercise* ¥ Forkhead Transcription Factors/genetics ¥ Humans ¥ Male ¥ Mitochondria/metabolism ¥ Muscle, Skeletal/metabolism* ¥ Nerve Tissue Proteins/genetics ¥ Oligonucleotide Array Sequence Analysis ¥ Oxidative Stress ¥ PPAR gamma/genetics ¥ PPAR gamma/physiology ¥ Physical Endurance ¥ RNA, Messenger/analysis* ¥ Receptors, Interleukin-6/genetics ¥ Receptors, Steroid/genetics ¥ Receptors, Thyroid Hormone/genetics ¥ Reverse Transcriptase Polymerase Chain Reaction ¥ Signal Transduction ¥ Sodium-Potassium-Exchanging ATPase/genetics
GDS1681	16492729	Animals ¥ Bacteria/immunology* ¥ Cells, Cultured ¥ Cercopithecus aethiops ¥ Chemokines/genetics ¥ Dendritic Cells/metabolism* ¥ Dendritic Cells/microbiology ¥ Dendritic Cells/virology* ¥ Down-Regulation/genetics ¥ Fungi/immunology ¥ Fungi/physiology* ¥ Gene Expression Regulation* ¥ Humans ¥ Interferons/genetics ¥ Measles virus/immunology ¥ Measles virus/physiology* ¥ Metallothionein/genetics ¥ Tumor Necrosis Factor-alpha/classification ¥ Tumor Necrosis Factor-alpha/genetics ¥ Up-Regulation/genetics
GDS1684	16780603	Adult ¥ Atrial Natriuretic Factor/genetics ¥ Atrial Natriuretic Factor/metabolism ¥ Biological Markers/blood ¥ Chemokine CXCL10 ¥ Chemokine CXCL9 ¥ Chemokines, CXC/blood* ¥ Chemokines, CXC/genetics ¥ Chemokines, CXC/metabolism ¥ Cluster Analysis ¥ Endocardium/metabolism ¥ Female ¥ Gene Expression Profiling ¥ Graft Rejection/blood* ¥ Graft Rejection/genetics ¥ Graft Rejection/metabolism ¥ Heart Transplantation* ¥ Humans ¥ Male ¥ Middle Aged ¥ Myocardium/metabolism ¥ Oligonucleotide Array Sequence Analysis ¥ RNA, Messenger/metabolism ¥ Reverse Transcriptase Polymerase Chain Reaction ¥ Transplantation, Homologous
GDS1697	16166285	Aldehyde Dehydrogenase/biosynthesis ¥ Aldehyde Dehydrogenase/genetics* ¥ Azacitidine/analogs & derivatives ¥ Azacitidine/pharmacology ¥ Base Sequence ¥ Cell Line, Tumor ¥ DNA Methylation/drug effects ¥ Enzyme Inhibitors/pharmacology ¥ Gene Expression Profiling ¥ Gene Expression Regulation, Enzymologic/drug effects ¥ Gene Expression Regulation, Neoplastic/drug effects ¥ Genes, Tumor Suppressor* ¥ Humans ¥ Isoenzymes/biosynthesis ¥ Isoenzymes/genetics* ¥ Male ¥ Molecular Sequence Data ¥ Neoplastic Stem Cells/enzymology ¥ Neoplastic Stem Cells/pathology ¥ Promoter Regions, Genetic ¥ Prostate/enzymology ¥ Prostatic Neoplasms/enzymology ¥ Prostatic Neoplasms/genetics ¥ Prostatic Neoplasms/pathology ¥ Tretinoin/metabolism*
GDS1699	15486987	Cell Line, Tumor ¥ Cluster Analysis ¥ DNA, Neoplasm/genetics* ¥ DNA, Neoplasm/metabolism ¥ Gene Dosage ¥ Gene Expression Regulation, Neoplastic/genetics* ¥ Genome, Human* ¥ Humans ¥ Male ¥ Oligonucleotide Array Sequence Analysis ¥ Prostatic Neoplasms/genetics* ¥ Prostatic Neoplasms/metabolism ¥ RNA, Neoplasm/chemistry ¥ RNA, Neoplasm/genetics ¥ Reverse Transcriptase Polymerase Chain Reaction
GDS170	12438652	Adenocarcinoma/genetics ¥ Adenocarcinoma/pathology ¥ Algorithms ¥ Alleles ¥ Amino Acid Motifs ¥ Binding Sites ¥ Bone Neoplasms/genetics ¥ Bone Neoplasms/pathology ¥ Breast Neoplasms/genetics ¥ Breast Neoplasms/pathology ¥ Carcinoma/genetics ¥ Carcinoma/pathology ¥ Chondroitin Sulfate Proteoglycans/biosynthesis ¥ Chondroitin Sulfate Proteoglycans/genetics* ¥ Colorectal Neoplasms/genetics ¥ Colorectal Neoplasms/pathology ¥ Computer Systems ¥ Gene Dosage* ¥ Gene Expression Profiling* ¥ Gene Expression Regulation, Neoplastic*/drug effects ¥ Gene Expression Regulation, Neoplastic*/radiation effects ¥ Gene Targeting ¥ Genes, Reporter ¥ Genes, p53* ¥ Humans ¥ Lectins, C-Type ¥ Luciferases/analysis ¥ Luciferases/genetics ¥ Lung Neoplasms/genetics ¥ Lung Neoplasms/pathology ¥ Neoplasm Proteins/biosynthesis ¥ Neoplasm Proteins/genetics* ¥ Oligonucleotide Array Sequence Analysis ¥ Osteosarcoma/genetics ¥ Osteosarcoma/pathology ¥ Polymerase Chain Reaction ¥ Recombinant Fusion Proteins/analysis ¥ Transcriptional Activation* ¥ Transfection ¥ Tumor Cells, Cultured/drug effects ¥ Tumor Cells, Cultured/metabolism ¥ Tumor Cells, Cultured/radiation effects ¥ Tumor Suppressor Protein p53/physiology* ¥ Versicans
GDS1700	12492705	5-Aminolevulinate Synthetase/metabolism ¥ Adolescent ¥ Adult ¥ Anemia/immunology ¥ Anemia/metabolism* ¥ Blood Proteins/metabolism ¥ Carrier Proteins/genetics ¥ Carrier Proteins/metabolism ¥ Folate Receptors, GPI-Anchored ¥ Glutathione Peroxidase/metabolism ¥ Graft Rejection/immunology ¥ Graft Rejection/metabolism* ¥ Heme/metabolism ¥ Humans ¥ Kidney Transplantation/immunology* ¥ Membrane Proteins/metabolism ¥ Oligonucleotide Array Sequence Analysis* ¥ Receptors, Cell Surface/genetics ¥ Receptors, Cell Surface/metabolism
GDS171	11839152	Cell Division ¥ Cells, Cultured ¥ Gene Expression* ¥ Gene Expression Profiling ¥ HIV-1/physiology* ¥ Humans ¥ Leukocytes, Mononuclear/cytology ¥ Leukocytes, Mononuclear/physiology ¥ Leukocytes, Mononuclear/virology* ¥ Models, Biological ¥ Oligonucleotide Array Sequence Analysis/methods ¥ Reproducibility of Results
GDS1710	15890200	Animals ¥ Base Sequence ¥ Cell Cycle Proteins/genetics* ¥ Cell Differentiation ¥ Cell Line ¥ Cyclin-Dependent Kinase Inhibitor p57 ¥ Down-Regulation ¥ Gene Expression Regulation* ¥ Gene Silencing ¥ Genes, Reporter/genetics ¥ Mice ¥ Molecular Sequence Data ¥ Muscle Cells/cytology* ¥ Muscle Cells/metabolism* ¥ Muscle Proteins/genetics* ¥ MyoD Protein/genetics ¥ MyoD Protein/metabolism* ¥ Nuclear Proteins/genetics* ¥ Oligonucleotide Array Sequence Analysis ¥ Promoter Regions, Genetic/genetics ¥ RNA, Messenger/genetics ¥ RNA, Messenger/metabolism ¥ Reproducibility of Results ¥ S100 Proteins/genetics* ¥ Transcription, Genetic/genetics
GDS1713	15548687	Cell Line ¥ Endothelium/pathology* ¥ Fetus/pathology ¥ Gene Expression Profiling ¥ Humans ¥ Neural Crest/embryology ¥ Neural Crest/pathology* ¥ Oligonucleotide Array Sequence Analysis* ¥ Reverse Transcriptase Polymerase Chain Reaction ¥ Sarcoma, Ewing's/classification ¥ Sarcoma, Ewing's/genetics* ¥ Sarcoma, Ewing's/pathology
GDS1714	16513838	Adolescent ¥ Adult ¥ Aged ¥ Bleomycin/toxicity* ¥ Carcinoma, Squamous Cell/genetics* ¥ Cells, Cultured ¥ Female ¥ Gene Expression Profiling ¥ Gene Expression Regulation, Neoplastic/genetics ¥ Genetic Predisposition to Disease* ¥ Head and Neck Neoplasms/genetics* ¥ Humans ¥ Lymphocytes/drug effects* ¥ Male ¥ Middle Aged ¥ Mutagens/toxicity* ¥ Neoplasm Proteins/genetics* ¥ Oligonucleotide Array Sequence Analysis ¥ Tumor Markers, Biological/genetics
GDS172	12803996	Animals ¥ Disease Progression ¥ Gene Expression Profiling* ¥ Gene Expression Regulation ¥ Humans ¥ Leukocytes, Mononuclear/virology* ¥ Macaca mulatta ¥ Oligonucleotide Array Sequence Analysis ¥ Proteins/genetics ¥ Proteins/metabolism ¥ Simian Acquired Immunodeficiency Syndrome/physiopathology* ¥ Simian Acquired Immunodeficiency Syndrome/virology ¥ Simian immunodeficiency virus/pathogenicity* ¥ Simian immunodeficiency virus/physiology ¥ Viral Load
GDS1726	15579294	Adult ¥ Encephalitis/etiology ¥ Encephalitis/genetics ¥ Encephalitis/metabolism* ¥ Female ¥ Frontal Lobe/metabolism* ¥ Frontal Lobe/virology ¥ Gene Expression Regulation* ¥ Glial Fibrillary Acidic Protein/metabolism ¥ HIV Core Protein p24/metabolism ¥ HIV Infections/complications ¥ HIV Infections/genetics ¥ HIV Infections/metabolism* ¥ Humans ¥ Male ¥ Microtubule-Associated Proteins/metabolism ¥ Models, Neurological ¥ Oligonucleotide Array Sequence Analysis/methods ¥ RNA/analysis ¥ Synaptophysin/metabolism ¥ Viral Load/methods
GDS1730	15994924	Brain Neoplasms/classification ¥ Brain Neoplasms/genetics* ¥ Brain Neoplasms/metabolism ¥ CCAAT-Enhancer-Binding Proteins/biosynthesis ¥ CCAAT-Enhancer-Binding Proteins/genetics* ¥ Cell Line, Tumor ¥ DNA-Binding Proteins/biosynthesis ¥ DNA-Binding Proteins/genetics* ¥ Gene Expression Profiling ¥ Gene Expression Regulation, Neoplastic/physiology* ¥ Genotype ¥ Glioblastoma/classification ¥ Glioblastoma/genetics* ¥ Glioblastoma/metabolism ¥ Humans ¥ Loss of Heterozygosity ¥ Oligonucleotide Array Sequence Analysis ¥ Platelet-Derived Growth Factor/biosynthesis ¥ Platelet-Derived Growth Factor/genetics ¥ Platelet-Derived Growth Factor/physiology* ¥ Signal Transduction/physiology ¥ Sterol Regulatory Element Binding Protein 1 ¥ Transcription Factors/biosynthesis ¥ Transcription Factors/genetics* ¥ Transcription, Genetic ¥ Transfection
GDS1735	16423401	Cell Culture Techniques ¥ Cells, Cultured ¥ Early Growth Response Protein 3/immunology ¥ Early Growth Response Protein 3/pharmacology ¥ Gene Expression Regulation/immunology* ¥ Genes, T-Cell Receptor gamma/genetics* ¥ Humans ¥ Leukocytes, Mononuclear/immunology ¥ Lipopolysaccharides/immunology ¥ Lipopolysaccharides/pharmacology ¥ Receptors, Antigen, T-Cell, gamma-delta/genetics ¥ Receptors, Antigen, T-Cell, gamma-delta/immunology* ¥ T-Lymphocyte Subsets/classification ¥ T-Lymphocyte Subsets/immunology* ¥ T-Lymphocytes/immunology*
GDS1736	16452198	Arachidonic Acid/pharmacology* ¥ Cell Growth Processes/drug effects ¥ Cell Growth Processes/genetics ¥ Chromones/pharmacology ¥ Cyclooxygenase 2/biosynthesis ¥ Cyclooxygenase 2/genetics ¥ Cyclooxygenase 2 Inhibitors/pharmacology ¥ Enzyme Activation/drug effects ¥ Flurbiprofen/pharmacology ¥ Gene Expression Regulation, Neoplastic/drug effects* ¥ Granulocyte-Macrophage Colony-Stimulating Factor/biosynthesis ¥ Granulocyte-Macrophage Colony-Stimulating Factor/genetics ¥ Humans ¥ Intercellular Adhesion Molecule-1/biosynthesis ¥ Intercellular Adhesion Molecule-1/genetics ¥ Interleukin-1/biosynthesis ¥ Interleukin-1/genetics ¥ Male ¥ Morpholines/pharmacology ¥ NF-kappa B/genetics ¥ NF-kappa B/metabolism ¥ Phosphatidylinositol 3-Kinases/antagonists & inhibitors ¥ Phosphatidylinositol 3-Kinases/metabolism* ¥ Phosphorylation/drug effects ¥ Prostatic Neoplasms/enzymology* ¥ Prostatic Neoplasms/genetics* ¥ Prostatic Neoplasms/metabolism ¥ Prostatic Neoplasms/pathology ¥ Proto-Oncogene Proteins c-akt/metabolism ¥ Reverse Transcriptase Polymerase Chain Reaction ¥ Signal Transduction/drug effects ¥ Transcriptional Activation
GDS1746	16513839	Aged ¥ Cell Differentiation ¥ Cells, Cultured ¥ Epithelial Cells/metabolism* ¥ Epithelial Cells/pathology ¥ Gene Expression Profiling* ¥ Humans ¥ Male ¥ Middle Aged ¥ Neoplasm Recurrence, Local/metabolism ¥ Neoplasm Recurrence, Local/pathology ¥ Neoplasm Staging ¥ Oligonucleotide Array Sequence Analysis ¥ Phenotype ¥ Prognosis ¥ Prostate/metabolism ¥ Prostatectomy ¥ Prostatic Hyperplasia/genetics ¥ Prostatic Hyperplasia/pathology ¥ Prostatic Neoplasms/genetics* ¥ Prostatic Neoplasms/surgery ¥ Tumor Cells, Cultured ¥ Tumor Markers, Biological/genetics*
GDS1750	16409295	Apoptosis/drug effects ¥ B-Lymphocytes/enzymology* ¥ Cell Division/drug effects ¥ Cell Line, Tumor ¥ DNA, Neoplasm/genetics ¥ Enzyme Precursors/genetics* ¥ Gene Deletion ¥ Gene Expression Profiling/methods ¥ Gene Expression Regulation, Neoplastic/genetics ¥ Genes, Neoplasm/genetics ¥ Humans ¥ Immunohistochemistry/methods ¥ In Situ Hybridization, Fluorescence/methods ¥ Intracellular Signaling Peptides and Proteins ¥ Lymphoma, Mantle-Cell/enzymology ¥ Lymphoma, Mantle-Cell/genetics* ¥ Neoplasm Proteins/genetics ¥ Protein-Tyrosine Kinases/antagonists & inhibitors ¥ Protein-Tyrosine Kinases/genetics* ¥ RNA, Neoplasm/genetics ¥ Stilbenes/pharmacology ¥ Transcription, Genetic/genetics
GDS1753	16188942	Anti-Inflammatory Agents, Non-Steroidal/pharmacology* ¥ Cell Line ¥ Colchicine/pharmacology* ¥ Dose-Response Relationship, Drug ¥ Endothelium, Vascular/drug effects* ¥ Endothelium, Vascular/metabolism ¥ Familial Mediterranean Fever/drug therapy ¥ Gene Expression Profiling/methods ¥ Gene Expression Regulation/drug effects* ¥ Gout Suppressants/pharmacology* ¥ Humans ¥ Microtubules/drug effects ¥ Oligonucleotide Array Sequence Analysis/methods
GDS1758	16488932	Adult ¥ Blotting, Western ¥ Down-Regulation ¥ Female ¥ Humans ¥ Insulin-Like Growth Factor Binding Protein 2/biosynthesis ¥ Insulin-Like Growth Factor Binding Protein 2/genetics ¥ Insulin-Like Growth Factor Binding Protein 3/biosynthesis* ¥ Insulin-Like Growth Factor Binding Protein 3/genetics ¥ Male ¥ Middle Aged ¥ Oligonucleotide Array Sequence Analysis/methods ¥ Polymerase Chain Reaction/methods ¥ Pterygium/metabolism* ¥ RNA, Messenger/genetics ¥ Reverse Transcriptase Polymerase Chain Reaction/methods
GDS1760	15942647	Antineoplastic Agents/pharmacology ¥ Cell Line, Tumor ¥ DNA, Complementary/metabolism ¥ Endothelial Cells/metabolism* ¥ Enzyme Activation ¥ Expressed Sequence Tags ¥ Fibroblasts/metabolism* ¥ Gene Expression Regulation* ¥ Humans ¥ Oligonucleotide Array Sequence Analysis ¥ Plasmids/metabolism ¥ RNA/metabolism ¥ RNA, Messenger/metabolism ¥ Regeneration ¥ Reverse Transcriptase Polymerase Chain Reaction ¥ Telomerase/metabolism ¥ Transfection
GDS1761	10700174	Breast/metabolism ¥ Breast Neoplasms/genetics ¥ Breast Neoplasms/metabolism ¥ Breast Neoplasms/pathology ¥ Cluster Analysis ¥ DNA, Complementary/genetics ¥ Expressed Sequence Tags ¥ Female ¥ Gene Expression Profiling* ¥ Gene Expression Regulation, Neoplastic* ¥ Humans ¥ Leukemia/genetics ¥ Leukemia/metabolism ¥ Leukemia/pathology ¥ Neoplasm Proteins/biosynthesis ¥ Neoplasm Proteins/genetics ¥ Neoplasms/genetics* ¥ Neoplasms/metabolism ¥ Neoplasms/pathology ¥ Oligonucleotide Array Sequence Analysis* ¥ Organ Specificity ¥ Tumor Cells, Cultured/classification ¥ Tumor Cells, Cultured/drug effects ¥ Tumor Cells, Cultured/metabolism*
